Entry Mats,Decorative entry runners,2,$25,$50,,,,
Installation,Setup and leveling,1,$75,$75,,,,
,,,SUBTOTAL,$699,,,,
,,,,,,,,
250 GUESTS - Resort/Hotel Flooring,$925,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Dance Floor,24x24 premium floor (576 sq ft),64,$10,$640,,,,
Floor Edging,Aluminum trim pieces,32,$3,$96,,,,
Transition Pieces,Level transitions,4,$20,$80,,,,
Entry Mats,Decorative entry runners,2,$25,$50,,,,
Installation,Setup and leveling,1,$75,$75,,,,
,,,SUBTOTAL,$941,,,,
,,,,,,,,
400 GUESTS - Resort/Hotel Flooring,$1100,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Dance Floor,30x30 premium floor (900 sq ft),100,$8,$800,,,,
Floor Edging,Aluminum trim pieces,40,$3,$120,,,,
Stage Platform,Raised platform area,1,$100,$100,,,,
Installation,Setup and leveling,1,$80,$80,,,,
,,,SUBTOTAL,$1100,,,,
,,,,,,,,
-------------------------------------------,,,,,,,,
WINERY/GARDEN (Scenario B) - Flooring Details,,,,,,,,
-------------------------------------------,,,,,,,,
,,,,,,,,
100 GUESTS - Winery/Garden Flooring,$663,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Dance Floor,15x15 outdoor-rated floor,25,$12,$300,,,,
Pathway Runners,Turf protection runners (50 ft),2,$40,$80,,,,
Ground Stakes,Secure stakes,20,$1,$20,,,,
Leveling Pads,Adjustable floor pads,25,$3,$75,,,,
Installation,Setup on uneven ground,1,$100,$100,,,,
Edge Protection,Grass/ground edging,1,$50,$50,,,,
Weather Prep,Ground cloth underneath,1,$38,$38,,,,
,,,SUBTOTAL,$663,,,,
,,,,,,,,
200 GUESTS - Winery/Garden Flooring,$1025,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Dance Floor,21x21 outdoor-rated floor,49,$10,$490,,,,
Pathway Runners,Turf protection runners (100 ft),3,$40,$120,,,,
Ground Cover,Partial tent flooring (200 sq ft),20,$5,$100,,,,
Leveling Pads,Adjustable floor pads,49,$3,$147,,,,
Installation,Setup on uneven ground,1,$125,$125,,,,
Edge Protection,Grass/ground edging,1,$43,$43,,,,
,,,SUBTOTAL,$1025,,,,
,,,,,,,,
250 GUESTS - Winery/Garden Flooring,$1350,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Dance Floor,24x24 outdoor-rated floor,64,$10,$640,,,,
Pathway Runners,Turf protection runners (150 ft),4,$40,$160,,,,
Ground Cover,Extended tent flooring (300 sq ft),30,$5,$150,,,,
Leveling Pads,Adjustable floor pads,64,$3,$192,,,,
Installation,Setup on uneven ground,1,$150,$150,,,,
Edge Protection,Grass/ground edging,1,$58,$58,,,,
,,,SUBTOTAL,$1350,,,,
,,,,,,,,
400 GUESTS - Winery/Garden Flooring,$1600,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Dance Floor,30x30 outdoor-rated floor,100,$8,$800,,,,
Pathway System,Comprehensive pathway network,1,$250,$250,,,,
Ground Cover,Extended tent flooring (400 sq ft),40,$5,$200,,,,
Leveling System,Professional leveling,1,$200,$200,,,,
Installation,Full setup crew,1,$150,$150,,,,
,,,SUBTOTAL,$1600,,,,
,,,,,,,,
-------------------------------------------,,,,,,,,
ESTATE/REMOTE (Scenario A) - Flooring Details,,,,,,,,
-------------------------------------------,,,,,,,,
,,,,,,,,
100 GUESTS - Estate/Remote Flooring,$3163,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Subfloor System,Modular subfloor panels (1500 sq ft),150,$8,$1200,,,,
Dance Floor,15x15 premium floor on subfloor,25,$12,$300,,,,
Pathway System,All-weather pathways (200 ft),1,$400,$400,,,,
Leveling System,Full ground leveling,1,$350,$350,,,,
Ground Prep,Site preparation and grading,1,$300,$300,,,,
Installation Crew,Full installation team (8 hrs),1,$400,$400,,,,
Edge Finishing,Professional edge treatment,1,$150,$150,,,,
Delivery,Remote location delivery,1,$63,$63,,,,
,,,SUBTOTAL,$3163,,,,
,,,,,,,,
200 GUESTS - Estate/Remote Flooring,$5775,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Subfloor System,Modular subfloor panels (3000 sq ft),300,$8,$2400,,,,
Dance Floor,21x21 premium floor on subfloor,49,$10,$490,,,,
Pathway System,All-weather pathways (400 ft),1,$700,$700,,,,
Leveling System,Full ground leveling,1,$500,$500,,,,
Ground Prep,Site preparation and grading,1,$500,$500,,,,
Installation Crew,Full installation team (12 hrs),1,$600,$600,,,,
Edge Finishing,Professional edge treatment,1,$200,$200,,,,
Drainage,Water management system,1,$250,$250,,,,
Delivery,Remote location delivery,1,$135,$135,,,,
,,,SUBTOTAL,$5775,,,,
,,,,,,,,
250 GUESTS - Estate/Remote Flooring,$7525,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Subfloor System,Modular subfloor panels (4000 sq ft),400,$8,$3200,,,,
Dance Floor,24x24 premium floor on subfloor,64,$10,$640,,,,
Pathway System,Comprehensive pathway network (600 ft),1,$1000,$1000,,,,
Leveling System,Full ground leveling,1,$650,$650,,,,
Ground Prep,Site preparation and grading,1,$650,$650,,,,
Installation Crew,Full installation team (16 hrs),1,$800,$800,,,,
Edge Finishing,Professional edge treatment,1,$250,$250,,,,
Drainage,Water management system,1,$335,$335,,,,
,,,SUBTOTAL,$7525,,,,
,,,,,,,,
400 GUESTS - Estate/Remote Flooring,$9500,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Subfloor System,Modular subfloor panels (5500 sq ft),550,$8,$4400,,,,
Dance Floor,30x30 premium floor on subfloor,100,$8,$800,,,,
Pathway System,Multi-zone pathway network (800 ft),1,$1200,$1200,,,,
Leveling System,Full ground leveling,1,$800,$800,,,,
Ground Prep,Site preparation and grading,1,$800,$800,,,,
Installation Crew,Full installation team (20 hrs),1,$1000,$1000,,,,
Drainage,Advanced water management,1,$500,$500,,,,
,,,SUBTOTAL,$9500,,,,
,,,,,,,,
,,,,,,,,
========== SANITATION INFRASTRUCTURE ==========,,,,,,,,
,,,,,,,,
SUMMARY BY EVENT SIZE & VENUE,,,,,,,,
Event Size,Resort/Hotel,Winery/Garden,Estate/Remote,,,,,
100 Guests,$100,$163,$1163,,,,,
200 Guests,$163,$263,$1763,,,,,
250 Guests,$225,$350,$2650,,,,,
400 Guests,$300,$425,$3500,,,,,
,,,,,,,,
-------------------------------------------,,,,,,,,
RESORT/HOTEL (Scenario C) - Sanitation Details,,,,,,,,
-------------------------------------------,,,,,,,,
,,,,,,,,
100 GUESTS - Resort/Hotel Sanitation,$100,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Restroom Attendant,Professional attendant (6 hrs),1,$60,$60,,,,
Premium Supplies,Hand towels + lotions + mints,1,$25,$25,,,,
Fresh Flowers,Restroom arrangements,2,$7.50,$15,,,,
,,,SUBTOTAL,$100,,,,
,,,,,,,,
200 GUESTS - Resort/Hotel Sanitation,$163,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Restroom Attendants,Professional attendants (6 hrs),2,$60,$120,,,,
Premium Supplies,Hand towels + lotions + mints,1,$25,$25,,,,
Fresh Flowers,Restroom arrangements,2,$9,$18,,,,
,,,SUBTOTAL,$163,,,,
,,,,,,,,
250 GUESTS - Resort/Hotel Sanitation,$225,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Restroom Attendants,Professional attendants (6 hrs),3,$60,$180,,,,
Premium Supplies,Luxury supplies package,1,$25,$25,,,,
Fresh Flowers,Restroom arrangements,2,$10,$20,,,,
,,,SUBTOTAL,$225,,,,
,,,,,,,,
400 GUESTS - Resort/Hotel Sanitation,$300,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Restroom Attendants,Professional attendants (6 hrs),4,$60,$240,,,,
Premium Supplies,Luxury supplies package,1,$35,$35,,,,
Fresh Flowers,Restroom arrangements,2,$12.50,$25,,,,
,,,SUBTOTAL,$300,,,,
,,,,,,,,
-------------------------------------------,,,,,,,,
WINERY/GARDEN (Scenario B) - Sanitation Details,,,,,,,,
-------------------------------------------,,,,,,,,
,,,,,,,,
100 GUESTS - Winery/Garden Sanitation,$163,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Restroom Trailer,2-stall luxury trailer rental,1,$75,$75,,,,
Trailer Delivery,Local delivery + setup,1,$50,$50,,,,
Attendant,Restroom attendant (4 hrs),1,$25,$25,,,,
Supplies,Premium restroom supplies,1,$13,$13,,,,
,,,SUBTOTAL,$163,,,,
,,,,,,,,
200 GUESTS - Winery/Garden Sanitation,$263,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Restroom Trailer,4-stall luxury trailer rental,1,$125,$125,,,,
Trailer Delivery,Local delivery + setup,1,$75,$75,,,,
Attendant,Restroom attendant (6 hrs),1,$40,$40,,,,
Supplies,Premium restroom supplies,1,$23,$23,,,,
,,,SUBTOTAL,$263,,,,
,,,,,,,,
250 GUESTS - Winery/Garden Sanitation,$350,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Restroom Trailer,6-stall luxury trailer rental,1,$175,$175,,,,
Trailer Delivery,Local delivery + setup,1,$100,$100,,,,
Attendant,Restroom attendant (6 hrs),1,$50,$50,,,,
Supplies,Premium restroom supplies,1,$25,$25,,,,
,,,SUBTOTAL,$350,,,,
,,,,,,,,
400 GUESTS - Winery/Garden Sanitation,$425,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Restroom Trailers,4-stall luxury trailers,2,$125,$250,,,,
Trailer Delivery,Local delivery + setup,1,$100,$100,,,,
Attendants,Restroom attendants (6 hrs),1,$50,$50,,,,
Supplies,Premium restroom supplies,1,$25,$25,,,,
,,,SUBTOTAL,$425,,,,
,,,,,,,,
-------------------------------------------,,,,,,,,
ESTATE/REMOTE (Scenario A) - Sanitation Details,,,,,,,,
-------------------------------------------,,,,,,,,
,,,,,,,,
100 GUESTS - Estate/Remote Sanitation,$1163,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Restroom Trailer,2-stall luxury trailer rental,1,$75,$75,,,,
Trailer Delivery,Remote location delivery,1,$150,$150,,,,
Fresh Water Tank,500 gallon water tank,1,$125,$125,,,,
Water Pump,Electric water pump system,1,$75,$75,,,,
Waste Holding,Extended waste tank,1,$100,$100,,,,
Gray Water Management,Gray water containment,1,$75,$75,,,,
Attendant,Restroom attendant (8 hrs),1,$60,$60,,,,
Supplies,Premium restroom supplies,1,$25,$25,,,,
Generator Allocation,Power for water systems,1,$50,$50,,,,
Lighting,Pathway lighting to restrooms,1,$100,$100,,,,
Setup Crew,Installation and testing,1,$200,$200,,,,
Consumables,Extra TP + paper towels + soap,1,$28,$28,,,,
,,,SUBTOTAL,$1163,,,,
,,,,,,,,
200 GUESTS - Estate/Remote Sanitation,$1763,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Restroom Trailer,4-stall luxury trailer rental,1,$125,$125,,,,
Trailer Delivery,Remote location delivery,1,$200,$200,,,,
Fresh Water Tank,1000 gallon water tank,1,$200,$200,,,,
Water Delivery,Water truck delivery,1,$150,$150,,,,
Water Pump,Commercial water pump system,1,$100,$100,,,,
Waste Holding,Large waste tank,1,$150,$150,,,,
Waste Removal,Scheduled waste pump-out,1,$175,$175,,,,
Gray Water Management,Gray water containment,1,$100,$100,,,,
Attendants,Restroom attendants (8 hrs),2,$60,$120,,,,
Supplies,Premium restroom supplies,1,$35,$35,,,,
Generator Allocation,Power for water systems,1,$75,$75,,,,
Lighting,Pathway lighting to restrooms,1,$125,$125,,,,
Consumables,Extra supplies buffer,1,$8,$8,,,,
,,,SUBTOTAL,$1763,,,,
,,,,,,,,
250 GUESTS - Estate/Remote Sanitation,$2650,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Restroom Trailers,4-stall luxury trailers,2,$125,$250,,,,
Trailer Delivery,Remote location delivery,1,$250,$250,,,,
Fresh Water Tank,1500 gallon water tank,1,$275,$275,,,,
Water Delivery,Water truck deliveries,2,$150,$300,,,,
Water Pump,Commercial water pump system,1,$125,$125,,,,
Waste Holding,Large waste tanks,2,$150,$300,,,,
Waste Removal,Multiple scheduled pump-outs,2,$175,$350,,,,
Gray Water Management,Full gray water system,1,$150,$150,,,,
Attendants,Restroom attendants (8 hrs),3,$60,$180,,,,
Supplies,Premium restroom supplies,1,$50,$50,,,,
Generator Allocation,Power for water systems,1,$100,$100,,,,
Lighting,Full pathway lighting,1,$175,$175,,,,
Consumables,Extra supplies buffer,1,$45,$45,,,,
Backup Supplies,Emergency supply kit,1,$100,$100,,,,
,,,SUBTOTAL,$2650,,,,
,,,,,,,,
400 GUESTS - Estate/Remote Sanitation,$3500,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Restroom Trailers,6-stall luxury trailers,2,$175,$350,,,,
Trailer Delivery,Remote location delivery,1,$300,$300,,,,
Fresh Water System,2000 gallon tank + reserves,1,$400,$400,,,,
Water Delivery,Water truck deliveries,3,$150,$450,,,,
Water Pump,Industrial water pump system,1,$175,$175,,,,
Waste Holding,Industrial waste tanks,2,$200,$400,,,,
Waste Removal,Scheduled pump-outs,3,$175,$525,,,,
Gray Water Management,Full gray water system,1,$175,$175,,,,
Attendants,Restroom attendants (10 hrs),4,$60,$240,,,,
Supplies,Premium restroom supplies,1,$75,$75,,,,
Generator Allocation,Power for water systems,1,$125,$125,,,,
Lighting,Full pathway lighting,1,$200,$200,,,,
Consumables,Extra supplies buffer,1,$85,$85,,,,
,,,SUBTOTAL,$3500,,,,
,,,,,,,,
,,,,,,,,
========== CLIMATE CONTROL ==========,,,,,,,,
,,,,,,,,
SUMMARY BY EVENT SIZE & VENUE,,,,,,,,
Event Size,Resort/Hotel,Winery/Garden,Estate/Remote,,,,,
100 Guests,$0,$413,$613,,,,,
200 Guests,$0,$725,$1088,,,,,
250 Guests,$0,$988,$1475,,,,,
400 Guests,$0,$1100,$2000,,,,,
,,,,,,,,
-------------------------------------------,,,,,,,,
RESORT/HOTEL (Scenario C) - Climate Details,,,,,,,,
-------------------------------------------,,,,,,,,
,,,,,,,,
ALL SIZES - Resort/Hotel Climate,$0,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Venue HVAC,Included with venue rental,1,$0,$0,,,,
,,,SUBTOTAL,$0,,,,
,,,,,,,,
-------------------------------------------,,,,,,,,
WINERY/GARDEN (Scenario B) - Climate Details,,,,,,,,
-------------------------------------------,,,,,,,,
,,,,,,,,
100 GUESTS - Winery/Garden Climate,$413,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Portable AC/Heater,Portable climate units,3,$75,$225,,,,
Ducting,Flexible duct system,1,$50,$50,,,,
Tent Sidewalls,Climate barrier sidewalls,4,$25,$100,,,,
Fuel/Power,Climate unit power,1,$38,$38,,,,
,,,SUBTOTAL,$413,,,,
,,,,,,,,
200 GUESTS - Winery/Garden Climate,$725,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Tent AC/Heating,5-ton portable HVAC unit,1,$350,$350,,,,
Ducting,Industrial duct system,1,$100,$100,,,,
Tent Sidewalls,Full sidewall enclosure,8,$25,$200,,,,
Power Allocation,Generator power for HVAC,1,$75,$75,,,,
,,,SUBTOTAL,$725,,,,
,,,,,,,,
250 GUESTS - Winery/Garden Climate,$988,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Tent AC/Heating,10-ton portable HVAC system,1,$500,$500,,,,
Ducting,Multi-zone duct system,1,$150,$150,,,,
Tent Sidewalls,Full sidewall enclosure,10,$25,$250,,,,
Power Allocation,Generator power for HVAC,1,$88,$88,,,,
,,,SUBTOTAL,$988,,,,
,,,,,,,,
400 GUESTS - Winery/Garden Climate,$1100,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Tent AC/Heating,15-ton portable HVAC system,1,$600,$600,,,,
Ducting,Multi-zone duct system,1,$175,$175,,,,
Tent Sidewalls,Full sidewall enclosure,10,$25,$250,,,,
Power Allocation,Generator power for HVAC,1,$75,$75,,,,
,,,SUBTOTAL,$1100,,,,
,,,,,,,,
-------------------------------------------,,,,,,,,
ESTATE/REMOTE (Scenario A) - Climate Details,,,,,,,,
-------------------------------------------,,,,,,,,
,,,,,,,,
100 GUESTS - Estate/Remote Climate,$613,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Portable HVAC,Portable climate units,3,$75,$225,,,,
Ducting,Flexible duct system,1,$50,$50,,,,
Tent Sidewalls,Climate barrier sidewalls,4,$25,$100,,,,
Generator Allocation,Dedicated power for climate,1,$100,$100,,,,
Fuel Allocation,Additional fuel for climate,1,$50,$50,,,,
Climate Monitoring,Temperature monitoring,1,$50,$50,,,,
Backup Unit,Backup portable unit,1,$38,$38,,,,
,,,SUBTOTAL,$613,,,,
,,,,,,,,
200 GUESTS - Estate/Remote Climate,$1088,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Tent HVAC System,10-ton HVAC unit,1,$450,$450,,,,
Ducting,Industrial duct system,1,$125,$125,,,,
Tent Sidewalls,Full sidewall enclosure,8,$25,$200,,,,
Generator Allocation,Dedicated power for climate,1,$150,$150,,,,
Fuel Allocation,Additional fuel for climate,1,$75,$75,,,,
Climate Monitoring,Temperature monitoring,1,$50,$50,,,,
Backup Unit,Backup climate unit,1,$38,$38,,,,
,,,SUBTOTAL,$1088,,,,
,,,,,,,,
250 GUESTS - Estate/Remote Climate,$1475,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Tent HVAC System,15-ton HVAC installation,1,$650,$650,,,,
Ducting,Multi-zone duct system,1,$175,$175,,,,
Tent Sidewalls,Full sidewall enclosure,10,$25,$250,,,,
Generator Allocation,Dedicated power for climate,1,$200,$200,,,,
Fuel Allocation,Additional fuel for climate,1,$100,$100,,,,
Climate Monitoring,Multi-zone monitoring,1,$50,$50,,,,
Backup System,Backup climate system,1,$50,$50,,,,
,,,SUBTOTAL,$1475,,,,
,,,,,,,,
400 GUESTS - Estate/Remote Climate,$2000,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Tent HVAC System,20-ton multi-zone HVAC,1,$850,$850,,,,
Ducting,Multi-zone duct system,1,$225,$225,,,,
Tent Sidewalls,Full sidewall enclosure,12,$25,$300,,,,
Generator Allocation,Dedicated power for climate,1,$250,$250,,,,
Fuel Allocation,Additional fuel for climate,1,$125,$125,,,,
Climate Monitoring,Multi-zone monitoring,1,$75,$75,,,,
Backup System,Backup climate system,1,$175,$175,,,,
,,,SUBTOTAL,$2000,,,,
,,,,,,,,
,,,,,,,,
========== INFRASTRUCTURE TOTALS ==========,,,,,,,,
,,,,,,,,
100 GUESTS - TOTAL BY VENUE,,,,,,,,
Category,Resort/Hotel,Winery/Garden,Estate/Remote,,,,,
Power,$50,$375,$925,,,,,
Flooring,$450,$663,$3163,,,,,
Sanitation,$100,$163,$1163,,,,,
Climate,$0,$413,$613,,,,,
TOTAL,$600,$1613,$5863,,,,,
,,,,,,,,
200 GUESTS - TOTAL BY VENUE,,,,,,,,
Category,Resort/Hotel,Winery/Garden,Estate/Remote,,,,,
Power,$75,$700,$1700,,,,,
Flooring,$700,$1025,$5775,,,,,
