Category	Item	Qty	Unit Cost	Total
Structure	The Heritage Grand Pavilion (50x120 Frame or 45x124 Sailcloth)	1	$1,143.79	$1,143.79
Tables	Round Tables (60")	30	$4.34	$130.11
Chairs	Gold Chiavari Chairs	250	$9.90	$2,475.00
Linens	Bespoke Linens	30	$29.70	$891.00
Linens	Bespoke Napkin Collection	250	$1.27	$316.25
Lighting	Crystal Chandeliers	5	$440.00	$2,200.00
Lighting	Designer Lighting Suite	40	$0.10	$3.90
Flooring	Dance Floor (24' x 24')	1	$1,122.88	$1,122.88
Lounge	Curated Lounge Vignette	2	$39.96	$79.91
Service	Cocktail Hour Setup with Bar	16	$36.22	$937.04
Service	Personal Concierge Service	1	$4,500.00	$4,500.00
Service	Event Planning Consultation	16	$75.00	$1,200.00
Service	Setup and Breakdown	96	$75.00	$7,200.00
Infrastructure	Power	1	$1,050.00	$1,050.00
Infrastructure	Flooring	1	$1,350.00	$1,350.00
Infrastructure	Sanitation	1	$350.00	$350.00
Infrastructure	Climate	1	$1,000.00	$1,000.00
		TOTAL COST		$25,949.87


===== CORPORATE ENVIRONMENTS =====

EXECUTIVE SESSION (100 Attendees)
Current Price: $2,995 | Current GPM: -31.19% | Price at 75% GPM: $15,716.77

Category	Item	Qty	Unit Cost	Total
Structure	Weather-Controlled Frame Structure	1	$266.70	$266.70
Tables	Banquet Round Tables	12	$4.34	$52.04
Chairs	Padded Chairs	100	$8.03	$803.00
Lounge	VIP Networking Lounge	1	$39.96	$39.96
Lighting	Ambient Event Lighting	10	$46.75	$467.50
Service	Professional Installation + Teardown	10	$75.00	$750.00
Infrastructure	Power	1	$325.00	$325.00
Infrastructure	Flooring	1	$650.00	$650.00
Infrastructure	Sanitation	1	$150.00	$150.00
Infrastructure	Climate	1	$425.00	$425.00
		TOTAL COST		$3,929.19


CORPORATE SHOWCASE (250 Attendees)
Current Price: $6,495 | Costs: TBD

Category	Item	Qty	Unit Cost	Total
Structure	Climate-Controlled Grand Pavilion	1	TBD	TBD
Tables	Banquet Round Tables	30	TBD	TBD
Chairs	Formal Event Seating	250	TBD	TBD
Lounge	Executive Lounge Zone	2	TBD	TBD
Lighting	Brand-Ready Uplighting	1	TBD	TBD
Service	Layout Planning & Flow Design	1	TBD	TBD
Service	Professional Installation	1	TBD	TBD
Service	Teardown	1	TBD	TBD
Climate	Climate Control System	1	TBD	TBD
Infrastructure	Power	1	TBD	TBD
Infrastructure	Flooring	1	TBD	TBD
Infrastructure	Sanitation	1	TBD	TBD
Infrastructure	Climate	1	TBD	TBD
		TOTAL COST		TBD


GRAND GALA (400 Attendees)
Current Price: $12,995 | Costs: TBD

Category	Item	Qty	Unit Cost	Total
Structure	Estate Pavilion with HVAC	1	TBD	TBD
Tables	Banquet Round Tables	50	TBD	TBD
Chairs	Formal Event Seating	400	TBD	TBD
Lounge	VIP Lounge Zone	1	TBD	TBD
Lounge	Cocktail Zone with High-Tops	1	TBD	TBD
Lighting	Designer Production Lighting	1	TBD	TBD
Stage	Presentation Stage	1	TBD	TBD
Service	Sightline Planning	1	TBD	TBD
Service	Professional Installation	1	TBD	TBD
Service	Teardown	1	TBD	TBD
Infrastructure	Power	1	TBD	TBD
Infrastructure	Flooring	1	TBD	TBD
Infrastructure	Sanitation	1	TBD	TBD
Infrastructure	Climate	1	TBD	TBD
		TOTAL COST		TBD


===== PRICING SUMMARY =====

SIGNATURE ENVIRONMENTS
Package	Guests	Total Cost	Current Price	Current GPM	Price at 75% GPM
Elegant Reception	100	$5,172.66	$6,499	20.41%	$20,690.65
Grand Celebration	200	$14,296.37	$19,999	28.51%	$57,185.46
Estate Affair	250	$25,949.87	$39,999	35.12%	$103,799.49

CORPORATE ENVIRONMENTS
Package	Attendees	Total Cost	Current Price	Current GPM	Price at 75% GPM
Executive Session	100	$3,929.19	$2,995	-31.19%	$15,716.77
Corporate Showcase	250	TBD	$6,495	TBD	TBD
Grand Gala	400	TBD	$12,995	TBD	TBD


===== MARGIN ANALYSIS =====

KEY FINDINGS:
1. All Signature packages are significantly underpriced for 75% GPM target
2. Executive Session is LOSING MONEY at current pricing (-31.19% GPM)
3. Infrastructure costs (Power, Flooring, Sanitation, Climate) are now included in base costs
4. Corporate Showcase and Grand Gala need unit costs entered to complete analysis

INFRASTRUCTURE COSTS INCLUDED (per package):

Package	Power	Flooring	Sanitation	Climate	Infra Total
Elegant Reception	$325	$650	$150	$425	$1,550
Grand Celebration	$700	$1,050	$250	$725	$2,725
Estate Affair	$1,050	$1,350	$350	$1,000	$3,750
Executive Session	$325	$650	$150	$425	$1,550

COST CHANGES FROM PREVIOUS ANALYSIS:
- Chairs increased: $9.00 → $9.90 (Chiavari), new $8.03 (Padded)
- Linens increased: $16.50 → $18.15 (poly), $27.00 → $29.70 (satin/bespoke)
- Napkins increased: $1.15 → $1.27
- Lounge updated: $30.57 → $39.96 per vignette
- Cocktail setup: $33.52 → $36.22
- Dance floors increased across all sizes
- Infrastructure now uses single venue scenario (Winery/Garden level)
